wijken;jaar;gasverbruik_tempgecorr;elektriciteitsverbruik
Burgwallen-Oude Zijde;2008;3,1;5,5
Burgwallen-Oude Zijde;2009;3,0;5,6
Burgwallen-Oude Zijde;2010;2,8;5,6
Burgwallen-Oude Zijde;2011;2,8;5,6
Burgwallen-Oude Zijde;2012;2,9;5,8
Burgwallen-Oude Zijde;2013;3,0;6,0
Burgwallen-Oude Zijde;2014;3,0;5,9
Burgwallen-Oude Zijde;2015;2,9;5,9
Burgwallen-Oude Zijde;2016;3,1;5,9
Burgwallen-Oude Zijde;2017;3,0;5,6
Burgwallen-Oude Zijde;2018;2,9;5,5
Burgwallen-Oude Zijde;2019;3,0;5,5
Burgwallen-Nieuwe Zijde;2008;3,0;5,3
Burgwallen-Nieuwe Zijde;2009;2,9;5,5
Burgwallen-Nieuwe Zijde;2010;2,7;5,4
Burgwallen-Nieuwe Zijde;2011;2,7;5,4
Burgwallen-Nieuwe Zijde;2012;2,8;5,6
Burgwallen-Nieuwe Zijde;2013;2,9;5,8
Burgwallen-Nieuwe Zijde;2014;2,8;5,7
Burgwallen-Nieuwe Zijde;2015;2,8;5,7
Burgwallen-Nieuwe Zijde;2016;2,9;5,9
Burgwallen-Nieuwe Zijde;2017;2,9;5,7
Burgwallen-Nieuwe Zijde;2018;2,8;5,6
Burgwallen-Nieuwe Zijde;2019;3,0;5,6
Grachtengordel-West;2008;4,7;8,4
Grachtengordel-West;2009;4,6;8,7
Grachtengordel-West;2010;4,3;8,6
Grachtengordel-West;2011;4,3;8,6
Grachtengordel-West;2012;4,4;8,9
Grachtengordel-West;2013;4,6;9,2
Grachtengordel-West;2014;4,5;9,0
Grachtengordel-West;2015;4,4;8,9
Grachtengordel-West;2016;5,8;10,9
Grachtengordel-West;2017;5,6;10,7
Grachtengordel-West;2018;5,7;10,5
Grachtengordel-West;2019;5,9;10,6
Grachtengordel-Zuid;2008;3,7;6,6
Grachtengordel-Zuid;2009;3,6;6,7
Grachtengordel-Zuid;2010;3,3;6,7
Grachtengordel-Zuid;2011;3,4;6,7
Grachtengordel-Zuid;2012;3,4;6,9
Grachtengordel-Zuid;2013;3,5;7,1
Grachtengordel-Zuid;2014;3,5;7,0
Grachtengordel-Zuid;2015;3,4;6,9
Grachtengordel-Zuid;2016;4,3;8,2
Grachtengordel-Zuid;2017;4,3;8,1
Grachtengordel-Zuid;2018;4,3;8,2
Grachtengordel-Zuid;2019;4,5;8,3
Nieuwmarkt/Lastage;2008;6,3;11,3
Nieuwmarkt/Lastage;2009;6,1;11,6
Nieuwmarkt/Lastage;2010;5,8;11,5
Nieuwmarkt/Lastage;2011;5,8;11,6
Nieuwmarkt/Lastage;2012;5,9;11,9
Nieuwmarkt/Lastage;2013;6,4;12,9
Nieuwmarkt/Lastage;2014;6,3;12,6
Nieuwmarkt/Lastage;2015;6,1;12,6
Nieuwmarkt/Lastage;2016;5,2;12,3
Nieuwmarkt/Lastage;2017;5,2;12,2
Nieuwmarkt/Lastage;2018;5,5;11,7
Nieuwmarkt/Lastage;2019;5,6;11,5
Haarlemmerbuurt;2008;6,0;10,7
Haarlemmerbuurt;2009;5,8;11,0
Haarlemmerbuurt;2010;5,4;10,9
Haarlemmerbuurt;2011;5,5;11,0
Haarlemmerbuurt;2012;5,6;11,3
Haarlemmerbuurt;2013;5,9;11,9
Haarlemmerbuurt;2014;5,9;11,7
Haarlemmerbuurt;2015;5,6;11,6
Haarlemmerbuurt;2016;5,3;11,7
Haarlemmerbuurt;2017;5,3;11,5
Haarlemmerbuurt;2018;5,3;11,4
Haarlemmerbuurt;2019;4,9;11,2
Jordaan;2008;14,2;25,4
Jordaan;2009;13,8;26,1
Jordaan;2010;12,9;25,9
Jordaan;2011;13,0;26,1
Jordaan;2012;13,3;26,8
Jordaan;2013;13,8;27,7
Jordaan;2014;13,6;27,1
Jordaan;2015;13,1;26,9
Jordaan;2016;12,5;23,4
Jordaan;2017;12,3;23,2
Jordaan;2018;12,3;22,8
Jordaan;2019;12,4;22,4
De Weteringschans;2008;4,9;8,8
De Weteringschans;2009;4,8;9,1
De Weteringschans;2010;4,5;9,0
De Weteringschans;2011;4,5;9,1
De Weteringschans;2012;4,6;9,3
De Weteringschans;2013;4,8;9,7
De Weteringschans;2014;4,8;9,5
De Weteringschans;2015;4,6;9,5
De Weteringschans;2016;5,1;9,8
De Weteringschans;2017;5,0;9,7
De Weteringschans;2018;5,0;9,6
De Weteringschans;2019;5,1;9,6
Weesperbuurt/Plantage;2008;4,8;8,6
Weesperbuurt/Plantage;2009;4,7;8,8
Weesperbuurt/Plantage;2010;4,4;8,8
Weesperbuurt/Plantage;2011;4,4;8,8
Weesperbuurt/Plantage;2012;4,5;9,1
Weesperbuurt/Plantage;2013;4,7;9,4
Weesperbuurt/Plantage;2014;4,6;9,1
Weesperbuurt/Plantage;2015;4,4;9,1
Weesperbuurt/Plantage;2016;4,4;9,0
Weesperbuurt/Plantage;2017;4,1;8,3
Weesperbuurt/Plantage;2018;4,2;8,2
Weesperbuurt/Plantage;2019;4,4;8,3
Oostelijke Eilanden/Kadijken;2008;8,0;14,4
Oostelijke Eilanden/Kadijken;2009;7,8;14,8
Oostelijke Eilanden/Kadijken;2010;7,3;14,7
Oostelijke Eilanden/Kadijken;2011;7,4;14,8
Oostelijke Eilanden/Kadijken;2012;7,5;15,2
Oostelijke Eilanden/Kadijken;2013;7,8;15,7
Oostelijke Eilanden/Kadijken;2014;7,7;15,3
Oostelijke Eilanden/Kadijken;2015;7,4;15,1
Oostelijke Eilanden/Kadijken;2016;6,2;14,5
Oostelijke Eilanden/Kadijken;2017;6,0;13,9
Oostelijke Eilanden/Kadijken;2018;6,0;13,3
Oostelijke Eilanden/Kadijken;2019;6,1;12,9
Westelijk Havengebied;2008;0,1;0,2
Westelijk Havengebied;2009;0,1;0,3
Westelijk Havengebied;2010;0,1;0,2
Westelijk Havengebied;2011;0,1;0,2
Westelijk Havengebied;2012;0,1;0,2
Westelijk Havengebied;2013;0,1;0,1
Westelijk Havengebied;2014;0,1;0,1
Westelijk Havengebied;2015;0,0;0,0
Westelijk Havengebied;2016;NA;0,2
Westelijk Havengebied;2017;NA;0,1
Westelijk Havengebied;2018;0,0;0,1
Westelijk Havengebied;2019;0,0;0,1
Bedrijventerrein Sloterdijk;2008;0,0;0,1
Bedrijventerrein Sloterdijk;2009;0,1;0,1
Bedrijventerrein Sloterdijk;2010;0,0;0,1
Bedrijventerrein Sloterdijk;2011;0,1;0,1
Bedrijventerrein Sloterdijk;2012;0,0;0,1
Bedrijventerrein Sloterdijk;2013;0,1;0,1
Bedrijventerrein Sloterdijk;2014;0,0;0,1
Bedrijventerrein Sloterdijk;2015;0,0;0,0
Bedrijventerrein Sloterdijk;2016;0,0;NA
Bedrijventerrein Sloterdijk;2017;0,0;NA
Bedrijventerrein Sloterdijk;2018;0,0;0,0
Bedrijventerrein Sloterdijk;2019;0,0;0,5
Houthavens;2008;1,1;2,1
Houthavens;2009;1,1;2,2
Houthavens;2010;1,1;2,2
Houthavens;2011;1,2;2,3
Houthavens;2012;1,1;2,3
Houthavens;2013;1,0;2,0
Houthavens;2014;1,1;2,2
Houthavens;2015;0,8;1,8
Houthavens;2016;NA;2,7
Houthavens;2017;0,0;2,6
Houthavens;2018;0,0;1,3
Houthavens;2019;0,0;2,8
Spaarndammer- en Zeeheldenbuurt;2008;5,4;10,2
Spaarndammer- en Zeeheldenbuurt;2009;5,2;10,6
Spaarndammer- en Zeeheldenbuurt;2010;5,1;10,6
Spaarndammer- en Zeeheldenbuurt;2011;5,6;11,1
Spaarndammer- en Zeeheldenbuurt;2012;5,6;11,2
Spaarndammer- en Zeeheldenbuurt;2013;5,6;11,5
Spaarndammer- en Zeeheldenbuurt;2014;6,4;12,7
Spaarndammer- en Zeeheldenbuurt;2015;5,1;11,0
Spaarndammer- en Zeeheldenbuurt;2016;5,3;10,3
Spaarndammer- en Zeeheldenbuurt;2017;5,3;10,1
Spaarndammer- en Zeeheldenbuurt;2018;5,3;9,9
Spaarndammer- en Zeeheldenbuurt;2019;5,3;9,6
Staatsliedenbuurt;2008;6,8;12,9
Staatsliedenbuurt;2009;6,6;13,4
Staatsliedenbuurt;2010;6,5;13,4
Staatsliedenbuurt;2011;7,2;14,1
Staatsliedenbuurt;2012;7,0;14,2
Staatsliedenbuurt;2013;7,1;14,5
Staatsliedenbuurt;2014;8,1;16,1
Staatsliedenbuurt;2015;6,7;14,3
Staatsliedenbuurt;2016;6,3;13,1
Staatsliedenbuurt;2017;6,3;12,9
Staatsliedenbuurt;2018;6,2;12,6
Staatsliedenbuurt;2019;6,2;12,2
Centrale Markt;2008;1,1;2,0
Centrale Markt;2009;1,0;2,1
Centrale Markt;2010;1,0;2,1
Centrale Markt;2011;1,1;2,2
Centrale Markt;2012;1,1;2,2
Centrale Markt;2013;1,1;2,3
Centrale Markt;2014;1,3;2,5
Centrale Markt;2015;1,0;2,2
Centrale Markt;2016;0,4;2,4
Centrale Markt;2017;0,4;2,3
Centrale Markt;2018;0,4;2,3
Centrale Markt;2019;0,5;2,3
Frederik Hendrikbuurt;2008;4,5;8,6
Frederik Hendrikbuurt;2009;4,4;8,9
Frederik Hendrikbuurt;2010;4,3;8,9
Frederik Hendrikbuurt;2011;4,8;9,4
Frederik Hendrikbuurt;2012;4,7;9,4
Frederik Hendrikbuurt;2013;4,7;9,6
Frederik Hendrikbuurt;2014;5,3;10,5
Frederik Hendrikbuurt;2015;4,3;9,2
Frederik Hendrikbuurt;2016;4,3;8,7
Frederik Hendrikbuurt;2017;4,2;8,5
Frederik Hendrikbuurt;2018;4,2;8,3
Frederik Hendrikbuurt;2019;4,2;8,0
Da Costabuurt;2008;2,7;5,0
Da Costabuurt;2009;2,6;5,0
Da Costabuurt;2010;2,6;5,0
Da Costabuurt;2011;2,5;4,8
Da Costabuurt;2012;2,4;4,9
Da Costabuurt;2013;2,5;5,0
Da Costabuurt;2014;2,8;5,5
Da Costabuurt;2015;2,3;4,8
Da Costabuurt;2016;2,4;5,2
Da Costabuurt;2017;2,4;5,1
Da Costabuurt;2018;2,4;5,0
Da Costabuurt;2019;2,4;4,8
Kinkerbuurt;2008;3,5;6,5
Kinkerbuurt;2009;3,4;6,5
Kinkerbuurt;2010;3,4;6,5
Kinkerbuurt;2011;3,2;6,2
Kinkerbuurt;2012;3,1;6,3
Kinkerbuurt;2013;3,2;6,5
Kinkerbuurt;2014;3,6;7,1
Kinkerbuurt;2015;2,9;6,2
Kinkerbuurt;2016;3,0;6,1
Kinkerbuurt;2017;3,0;6,1
Kinkerbuurt;2018;3,1;6,1
Kinkerbuurt;2019;3,1;6,1
Van Lennepbuurt;2008;4,6;8,5
Van Lennepbuurt;2009;4,4;8,5
Van Lennepbuurt;2010;4,5;8,5
Van Lennepbuurt;2011;4,2;8,2
Van Lennepbuurt;2012;4,1;8,2
Van Lennepbuurt;2013;4,2;8,5
Van Lennepbuurt;2014;4,7;9,3
Van Lennepbuurt;2015;3,8;8,2
Van Lennepbuurt;2016;3,5;7,3
Van Lennepbuurt;2017;3,5;7,2
Van Lennepbuurt;2018;3,5;6,9
Van Lennepbuurt;2019;3,5;6,8
Helmersbuurt;2008;4,3;8,0
Helmersbuurt;2009;4,2;8,1
Helmersbuurt;2010;4,2;8,0
Helmersbuurt;2011;3,9;7,8
Helmersbuurt;2012;3,9;7,8
Helmersbuurt;2013;3,9;8,0
Helmersbuurt;2014;4,4;8,9
Helmersbuurt;2015;3,6;7,7
Helmersbuurt;2016;4,2;8,8
Helmersbuurt;2017;4,1;8,6
Helmersbuurt;2018;4,1;8,5
Helmersbuurt;2019;4,1;8,2
Overtoomse Sluis;2008;4,5;8,3
Overtoomse Sluis;2009;4,3;8,3
Overtoomse Sluis;2010;4,4;8,3
Overtoomse Sluis;2011;4,1;8,0
Overtoomse Sluis;2012;4,0;8,0
Overtoomse Sluis;2013;4,1;8,3
Overtoomse Sluis;2014;4,6;9,2
Overtoomse Sluis;2015;3,7;8,0
Overtoomse Sluis;2016;4,3;8,8
Overtoomse Sluis;2017;4,2;8,7
Overtoomse Sluis;2018;4,3;8,5
Overtoomse Sluis;2019;4,3;8,4
Vondelbuurt;2008;0,9;1,7
Vondelbuurt;2009;0,9;1,7
Vondelbuurt;2010;0,9;1,7
Vondelbuurt;2011;0,8;1,6
Vondelbuurt;2012;0,8;1,6
Vondelbuurt;2013;0,8;1,7
Vondelbuurt;2014;0,9;1,9
Vondelbuurt;2015;0,8;1,7
Vondelbuurt;2016;1,2;2,4
Vondelbuurt;2017;1,2;2,4
Vondelbuurt;2018;1,2;2,3
Vondelbuurt;2019;1,3;2,4
Zuidas;2008;0,7;1,2
Zuidas;2009;0,7;1,2
Zuidas;2010;0,7;1,2
Zuidas;2011;0,6;1,2
Zuidas;2012;0,6;1,2
Zuidas;2013;0,6;1,2
Zuidas;2014;0,6;1,2
Zuidas;2015;0,6;1,3
Zuidas;2016;0,1;5,2
Zuidas;2017;0,0;4,2
Zuidas;2018;0,0;4,4
Zuidas;2019;0,0;5,9
Oude Pijp;2008;10,7;19,1
Oude Pijp;2009;10,4;19,3
Oude Pijp;2010;10,3;18,8
Oude Pijp;2011;10,5;19,6
Oude Pijp;2012;10,2;19,7
Oude Pijp;2013;10,4;19,9
Oude Pijp;2014;9,6;19,1
Oude Pijp;2015;9,7;19,8
Oude Pijp;2016;7,7;16,9
Oude Pijp;2017;7,7;16,7
Oude Pijp;2018;7,6;16,4
Oude Pijp;2019;7,7;15,9
Nieuwe Pijp;2008;8,5;15,3
Nieuwe Pijp;2009;8,3;15,4
Nieuwe Pijp;2010;8,3;15,1
Nieuwe Pijp;2011;8,4;15,7
Nieuwe Pijp;2012;8,2;15,8
Nieuwe Pijp;2013;8,4;16,0
Nieuwe Pijp;2014;7,7;15,4
Nieuwe Pijp;2015;7,7;15,8
Nieuwe Pijp;2016;6,5;13,2
Nieuwe Pijp;2017;6,4;13,4
Nieuwe Pijp;2018;6,4;12,8
Nieuwe Pijp;2019;6,5;12,6
Zuid Pijp;2008;5,4;9,6
Zuid Pijp;2009;5,2;9,7
Zuid Pijp;2010;5,2;9,5
Zuid Pijp;2011;5,3;9,9
Zuid Pijp;2012;5,1;9,9
Zuid Pijp;2013;5,2;10,0
Zuid Pijp;2014;4,8;9,6
Zuid Pijp;2015;4,8;9,9
Zuid Pijp;2016;4,4;7,7
Zuid Pijp;2017;4,5;7,6
Zuid Pijp;2018;4,4;7,4
Zuid Pijp;2019;4,4;7,3
Weesperzijde;2008;2,9;5,4
Weesperzijde;2009;2,8;5,4
Weesperzijde;2010;2,6;5,3
Weesperzijde;2011;1,9;5,8
Weesperzijde;2012;1,8;6,0
Weesperzijde;2013;1,9;5,8
Weesperzijde;2014;2,8;5,5
Weesperzijde;2015;1,7;5,8
Weesperzijde;2016;2,4;5,7
Weesperzijde;2017;2,4;5,3
Weesperzijde;2018;2,5;5,1
Weesperzijde;2019;2,8;5,5
Oosterparkbuurt;2008;6,4;12,0
Oosterparkbuurt;2009;6,2;12,0
Oosterparkbuurt;2010;5,8;11,8
Oosterparkbuurt;2011;4,3;12,7
Oosterparkbuurt;2012;4,0;13,2
Oosterparkbuurt;2013;4,3;13,2
Oosterparkbuurt;2014;6,3;12,6
Oosterparkbuurt;2015;3,9;13,1
Oosterparkbuurt;2016;5,3;10,7
Oosterparkbuurt;2017;5,2;10,4
Oosterparkbuurt;2018;5,1;10,2
Oosterparkbuurt;2019;5,2;9,9
Dapperbuurt;2008;5,0;9,4
Dapperbuurt;2009;4,8;9,4
Dapperbuurt;2010;4,5;9,2
Dapperbuurt;2011;3,3;9,9
Dapperbuurt;2012;3,1;10,3
Dapperbuurt;2013;3,3;10,2
Dapperbuurt;2014;4,8;9,5
Dapperbuurt;2015;3,1;10,4
Dapperbuurt;2016;4,0;8,9
Dapperbuurt;2017;4,2;9,4
Dapperbuurt;2018;4,4;9,3
Dapperbuurt;2019;4,6;9,3
Transvaalbuurt;2008;5,1;9,4
Transvaalbuurt;2009;4,9;9,4
Transvaalbuurt;2010;4,5;9,3
Transvaalbuurt;2011;3,3;10,0
Transvaalbuurt;2012;3,1;10,4
Transvaalbuurt;2013;3,3;10,3
Transvaalbuurt;2014;4,7;9,5
Transvaalbuurt;2015;2,9;9,7
Transvaalbuurt;2016;4,3;8,4
Transvaalbuurt;2017;4,4;8,3
Transvaalbuurt;2018;4,3;8,0
Transvaalbuurt;2019;4,3;7,8
Indische Buurt West;2008;3,4;12,7
Indische Buurt West;2009;3,4;14,2
Indische Buurt West;2010;3,5;14,8
Indische Buurt West;2011;4,9;14,6
Indische Buurt West;2012;4,6;15,1
Indische Buurt West;2013;4,9;15,1
Indische Buurt West;2014;7,1;14,1
Indische Buurt West;2015;4,3;14,3
Indische Buurt West;2016;6,2;11,9
Indische Buurt West;2017;6,3;11,9
Indische Buurt West;2018;5,4;10,9
Indische Buurt West;2019;5,5;10,9
Indische Buurt Oost;2008;2,6;9,6
Indische Buurt Oost;2009;2,5;10,7
Indische Buurt Oost;2010;2,6;11,1
Indische Buurt Oost;2011;3,7;11,0
Indische Buurt Oost;2012;3,4;11,4
Indische Buurt Oost;2013;3,7;11,4
Indische Buurt Oost;2014;5,4;10,7
Indische Buurt Oost;2015;3,3;10,9
Indische Buurt Oost;2016;3,8;9,1
Indische Buurt Oost;2017;4,2;9,0
Indische Buurt Oost;2018;4,2;8,8
Indische Buurt Oost;2019;4,2;8,6
Oostelijk Havengebied;2008;4,3;15,9
Oostelijk Havengebied;2009;4,2;17,7
Oostelijk Havengebied;2010;4,4;18,5
Oostelijk Havengebied;2011;6,1;18,2
Oostelijk Havengebied;2012;5,7;18,8
Oostelijk Havengebied;2013;6,2;19,3
Oostelijk Havengebied;2014;9,0;18,0
Oostelijk Havengebied;2015;5,5;18,4
Oostelijk Havengebied;2016;3,4;20,5
Oostelijk Havengebied;2017;3,5;20,3
Oostelijk Havengebied;2018;3,5;20,0
Oostelijk Havengebied;2019;3,9;19,9
IJburg West;2008;2,7;10,1
IJburg West;2009;2,7;11,3
IJburg West;2010;2,8;11,7
IJburg West;2011;3,9;11,5
IJburg West;2012;3,6;12,0
IJburg West;2013;3,9;12,0
IJburg West;2014;5,6;11,3
IJburg West;2015;3,5;11,5
IJburg West;2016;0,1;17,3
IJburg West;2017;0,1;16,9
IJburg West;2018;0,1;15,9
IJburg West;2019;0,1;16,4
Sloterdijk;2008;0,1;0,1
Sloterdijk;2009;0,1;0,1
Sloterdijk;2010;0,1;0,1
Sloterdijk;2011;0,1;0,1
Sloterdijk;2012;0,1;0,1
Sloterdijk;2013;0,1;0,1
Sloterdijk;2014;0,1;0,1
Sloterdijk;2015;0,2;0,4
Sloterdijk;2016;0,1;0,5
Sloterdijk;2017;0,0;0,5
Sloterdijk;2018;0,5;0,5
Sloterdijk;2019;0,4;0,5
Landlust;2008;9,4;16,2
Landlust;2009;9,1;16,8
Landlust;2010;9,0;16,6
Landlust;2011;8,6;17,0
Landlust;2012;8,5;17,1
Landlust;2013;8,6;17,6
Landlust;2014;9,7;19,4
Landlust;2015;7,9;17,0
Landlust;2016;8,3;16,5
Landlust;2017;8,4;16,9
Landlust;2018;8,3;16,3
Landlust;2019;8,2;16,0
Erasmuspark;2008;3,1;5,4
Erasmuspark;2009;3,0;5,5
Erasmuspark;2010;3,0;5,5
Erasmuspark;2011;2,9;5,6
Erasmuspark;2012;2,8;5,6
Erasmuspark;2013;2,9;5,8
Erasmuspark;2014;3,2;6,4
Erasmuspark;2015;2,6;5,6
Erasmuspark;2016;2,7;5,3
Erasmuspark;2017;2,7;5,3
Erasmuspark;2018;2,7;5,1
Erasmuspark;2019;2,7;5,0
De Kolenkit;2008;3,6;6,2
De Kolenkit;2009;3,5;6,4
De Kolenkit;2010;3,4;6,4
De Kolenkit;2011;3,3;6,5
De Kolenkit;2012;3,3;6,5
De Kolenkit;2013;3,5;7,1
De Kolenkit;2014;4,5;8,9
De Kolenkit;2015;3,6;7,8
De Kolenkit;2016;2,0;8,5
De Kolenkit;2017;1,9;8,6
De Kolenkit;2018;1,9;8,5
De Kolenkit;2019;1,8;9,4
Geuzenbuurt;2008;3,8;6,9
Geuzenbuurt;2009;3,8;6,9
Geuzenbuurt;2010;3,7;6,7
Geuzenbuurt;2011;3,4;6,7
Geuzenbuurt;2012;3,4;6,7
Geuzenbuurt;2013;3,4;6,9
Geuzenbuurt;2014;3,8;7,6
Geuzenbuurt;2015;3,1;6,7
Geuzenbuurt;2016;3,5;6,9
Geuzenbuurt;2017;3,5;6,8
Geuzenbuurt;2018;3,5;6,7
Geuzenbuurt;2019;3,4;6,4
Van Galenbuurt;2008;3,4;6,1
Van Galenbuurt;2009;3,4;6,1
Van Galenbuurt;2010;3,3;5,9
Van Galenbuurt;2011;3,0;5,9
Van Galenbuurt;2012;3,0;6,0
Van Galenbuurt;2013;3,0;6,1
Van Galenbuurt;2014;3,4;6,7
Van Galenbuurt;2015;2,7;5,9
Van Galenbuurt;2016;2,6;5,3
Van Galenbuurt;2017;2,6;5,2
Van Galenbuurt;2018;2,6;5,1
Van Galenbuurt;2019;2,6;4,9
Westindische Buurt;2008;3,8;6,8
Westindische Buurt;2009;3,8;6,8
Westindische Buurt;2010;3,7;6,6
Westindische Buurt;2011;3,4;6,6
Westindische Buurt;2012;3,3;6,7
Westindische Buurt;2013;3,4;6,9
Westindische Buurt;2014;3,8;7,5
Westindische Buurt;2015;3,1;6,6
Westindische Buurt;2016;3,5;6,9
Westindische Buurt;2017;3,5;6,8
Westindische Buurt;2018;3,5;6,7
Westindische Buurt;2019;3,6;6,5
Hoofddorppleinbuurt;2008;7,6;13,5
Hoofddorppleinbuurt;2009;7,4;13,7
Hoofddorppleinbuurt;2010;7,3;13,3
Hoofddorppleinbuurt;2011;7,4;13,9
Hoofddorppleinbuurt;2012;7,2;13,9
Hoofddorppleinbuurt;2013;7,4;14,1
Hoofddorppleinbuurt;2014;6,7;13,5
Hoofddorppleinbuurt;2015;6,8;13,9
Hoofddorppleinbuurt;2016;6,2;12,5
Hoofddorppleinbuurt;2017;6,3;12,4
Hoofddorppleinbuurt;2018;6,3;12,3
Hoofddorppleinbuurt;2019;6,3;12,0
Schinkelbuurt;2008;2,7;4,8
Schinkelbuurt;2009;2,6;4,8
Schinkelbuurt;2010;2,6;4,7
Schinkelbuurt;2011;2,6;4,9
Schinkelbuurt;2012;2,5;4,9
Schinkelbuurt;2013;2,6;5,0
Schinkelbuurt;2014;2,4;4,8
Schinkelbuurt;2015;2,4;4,9
Schinkelbuurt;2016;2,4;4,5
Schinkelbuurt;2017;2,4;4,4
Schinkelbuurt;2018;2,1;4,0
Schinkelbuurt;2019;2,1;3,9
Willemspark;2008;3,0;5,4
Willemspark;2009;2,9;5,4
Willemspark;2010;2,9;5,3
Willemspark;2011;2,9;5,5
Willemspark;2012;2,9;5,5
Willemspark;2013;2,9;5,6
Willemspark;2014;2,7;5,4
Willemspark;2015;2,7;5,6
Willemspark;2016;4,0;7,7
Willemspark;2017;4,0;7,6
Willemspark;2018;4,0;7,5
Willemspark;2019;4,1;7,5
Museumkwartier;2008;7,9;14,2
Museumkwartier;2009;7,7;14,4
Museumkwartier;2010;7,7;14,0
